"TransactionID","Date","Time","Weekday","Quarter","StoreID","StoreName","Region","Prefecture","StoreType","CustomerID","Age","AgeGroup","Gender","MemberRank","LTV_Score","JobType","AnnualIncome_Est","MaritalStatus","ChildrenCount","ProductID","CategoryMain","CategorySub","Brand","ProductName","SKU","Color","Size","SupplierID","StockLevel","UnitCost","UnitPrice","Quantity","GrossSales","DiscountRate","DiscountAmount","NetSales","TaxAmount","Profit","ProfitMargin","PaymentMethod","PaymentStatus","Channel","DeviceType","OS","ShippingMethod","ShippingCost","DeliveryDate","ReviewScore","IsReturn"
"TRX-f8989962","2023-07-06","15:12","Fri","Q3","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-19414","36","30s","Female","Regular","1.13","Self-Employed","4510000","Single","1","PRD-5936","Fashion","Sub-Fashion","Brand-E","Fashion-Item","123DD61F","Black","L","SUP-639","74","1783","3930","1","3930","0","0","3930","393","2147","0.55","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-07-06","","0"
"TRX-fd984440","2023-05-01","19:36","Tue","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-93226","54","50s","Female","Regular","1.28","Office Worker","4480000","Single","3","PRD-8745","Food","Sub-Food","Brand-B","Food-Item","94750C95","Black","S","SUP-742","66","1111","1611","1","1611","0","0","1611","161","500","0.31","QR","Completed","App","Mobile","iOS","Courier","500","2023-05-07","","0"
"TRX-cad84b3d","2023-10-10","23:42","Wed","Q4","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-79222","19","10s","Male","Regular","1.16","Self-Employed","3390000","Married","0","PRD-8707","Food","Sub-Food","Brand-F","Food-Item","2A235645","White","L","SUP-982","98","352","475","1","475","0","0","475","47","123","0.26","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-10-10","","0"
"TRX-77836b11","2023-01-24","21:35","Wed","Q1","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-91212","41","40s","Male","Gold","2.59","Office Worker","4870000","Single","0","PRD-5687","Home","Sub-Home","Brand-E","Home-Item","9DA7449C","Red","S","SUP-309","91","1874","3339","1","3339","0","0","3339","333","1465","0.44","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-01-24","","0"
"TRX-d63f35c7","2023-06-18","13:32","Mon","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-37243","60","60s","Male","Regular","1.36","Office Worker","6110000","Married","3","PRD-2642","Fashion","Sub-Fashion","Brand-C","Fashion-Item","00589D5A","Blue","S","SUP-539","73","4094","6667","1","6667","0","0","6667","666","2573","0.39","Credit","Completed","App","Mobile","iOS","Courier","500","2023-06-24","","0"
"TRX-a7c609ae","2023-07-04","10:44","Wed","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-42643","18","10s","Male","Regular","1.18","Housewife","3290000","Single","1","PRD-1113","Food","Sub-Food","Brand-F","Food-Item","465410DC","Black","M","SUP-504","92","315","600","1","600","0","0","600","60","285","0.47","QR","Completed","App","Mobile","iOS","Courier","500","2023-07-05","","0"
"TRX-af150feb","2023-04-13","12:28","Fri","Q2","ST-1","Shinjuku","Kanto","Tokyo","Physical","CUST-98065","40","40s","Male","Gold","2.91","Office Worker","5980000","Single","3","PRD-9953","Food","Sub-Food","Brand-A","Food-Item","7906A799","Red","S","SUP-478","93","836","1704","1","1704","0","0","1704","170","868","0.51","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-04-13","","0"
"TRX-f632a6a5","2023-09-23","13:46","Sun","Q3","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-85385","23","20s","Female","Gold","1.66","Office Worker","4770000","Married","3","PRD-1085","Fashion","Sub-Fashion","Brand-C","Fashion-Item","FD2A25F8","Blue","L","SUP-961","48","2601","4683","1","4683","0","0","4683","468","2082","0.44","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-09-23","5","0"
"TRX-f7124da1","2023-04-05","10:39","Thu","Q2","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-11947","51","50s","Female","Regular","1.40","Self-Employed","5200000","Married","3","PRD-3746","Fashion","Sub-Fashion","Brand-A","Fashion-Item","F3AD6886","Red","S","SUP-463","22","66","100","1","100","0","0","100","10","34","0.34","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-04-05","","0"
"TRX-c120b632","2023-09-06","11:17","Thu","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-32518","41","40s","Male","Regular","1.00","Self-Employed","4480000","Single","1","PRD-2783","Home","Sub-Home","Brand-B","Home-Item","822AF991","Blue","L","SUP-212","82","705","1101","1","1101","0","0","1101","110","396","0.36","Credit","Completed","App","Mobile","iOS","Courier","500","2023-09-13","","0"
"TRX-2eb8f5db","2023-06-14","18:22","Thu","Q2","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-95420","32","30s","Female","Regular","1.15","Self-Employed","3900000","Single","0","PRD-1373","Fashion","Sub-Fashion","Brand-B","Fashion-Item","6BDEE7AE","Black","L","SUP-679","32","8119","13094","1","13094","0.2","2618","10476","1047","2357","0.22","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-06-14","","0"
"TRX-2141b479","2023-02-19","10:23","Mon","Q1","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-99640","61","60s","Female","Regular","1.47","Office Worker","6290000","Married","0","PRD-1718","Food","Sub-Food","Brand-D","Food-Item","3C7A4B5D","Blue","M","SUP-288","75","1622","2549","1","2549","0","0","2549","254","927","0.36","Cash","Completed","Store","POS","Embedded","Carry-out","0","2023-02-19","","0"
"TRX-d1422348","2023-11-04","13:31","Sun","Q4","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-32418","38","30s","Male","Regular","1.27","Office Worker","4370000","Single","3","PRD-5981","Food","Sub-Food","Brand-D","Food-Item","B1B306B5","Blue","M","SUP-687","94","773","1550","1","1550","0","0","1550","155","777","0.50","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-11-04","","0"
"TRX-d453ad43","2023-06-08","19:17","Fri","Q2","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-41275","34","30s","Male","Regular","1.12","Office Worker","5870000","Single","2","PRD-9576","Fashion","Sub-Fashion","Brand-B","Fashion-Item","B2ACD46F","Black","L","SUP-992","82","14615","19591","1","19591","0","0","19591","1959","4976","0.25","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-06-08","","0"
"TRX-c2d42e05","2023-11-14","13:41","Wed","Q4","ST-3","Osaka Umeda","Kansai","Osaka","Physical","CUST-97115","29","20s","Male","Regular","1.29","Student","7020000","Single","2","PRD-7475","Home","Sub-Home","Brand-B","Home-Item","52D2DC6A","White","M","SUP-879","42","2530","4170","1","4170","0","0","4170","417","1640","0.39","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-11-14","","0"
"TRX-7d8c4975","2023-12-18","20:41","Tue","Q4","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-63847","50","50s","Male","Gold","1.67","Office Worker","4930000","Married","3","PRD-6087","Food","Sub-Food","Brand-D","Food-Item","B2BB8E9C","Blue","L","SUP-977","62","1552","2063","4","8252","0.30000000000000004","2475","5777","577","-431","-0.07","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-12-18","","0"
"TRX-0677a9d7","2023-06-13","15:23","Wed","Q2","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-65955","32","30s","Female","Regular","1.34","Student","4980000","Married","1","PRD-2059","Fashion","Sub-Fashion","Brand-D","Fashion-Item","080586AB","Red","S","SUP-814","11","2565","4960","1","4960","0.1","496","4464","446","1899","0.43","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-06-13","","0"
"TRX-a4db5f57","2023-07-24","21:05","Tue","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-89877","19","10s","Male","Gold","1.63","Self-Employed","4770000","Single","1","PRD-3437","Fashion","Sub-Fashion","Brand-C","Fashion-Item","77A84D57","Blue","S","SUP-492","95","6464","11817","1","11817","0","0","11817","1181","5353","0.45","Credit","Completed","App","Mobile","iOS","Courier","500","2023-07-30","","0"
"TRX-f7157893","2023-11-12","09:55","Mon","Q4","ST-3","Osaka Umeda","Kansai","Osaka","Physical","CUST-24328","40","40s","Female","Regular","1.02","Housewife","6110000","Single","3","PRD-2535","Food","Sub-Food","Brand-C","Food-Item","14812975","Black","L","SUP-999","26","1684","2476","1","2476","0","0","2476","247","792","0.32","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-11-12","","0"
"TRX-8f97d369","2023-05-19","15:31","Sat","Q2","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-20476","26","20s","Male","Gold","1.58","Office Worker","6520000","Married","3","PRD-6501","Food","Sub-Food","Brand-F","Food-Item","19315A93","White","M","SUP-988","74","237","406","1","406","0","0","406","40","169","0.42","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-05-19","","0"
"TRX-d255b853","2023-12-07","15:05","Fri","Q4","ST-4","Nagoya Sakae","Kanto","Tokyo","Physical","CUST-24998","39","30s","Female","Regular","1.44","Student","4610000","Married","0","PRD-2020","Fashion","Sub-Fashion","Brand-E","Fashion-Item","65C6600A","Blue","L","SUP-306","16","5053","7242","1","7242","0","0","7242","724","2189","0.30","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-12-07","","1"
"TRX-a5ae371d","2023-12-26","15:20","Wed","Q4","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-35606","33","30s","Male","Regular","1.05","Student","5780000","Married","0","PRD-6521","Food","Sub-Food","Brand-C","Food-Item","0FFCB7EC","Blue","M","SUP-549","17","456","790","1","790","0","0","790","79","334","0.42","Cash","Completed","Store","POS","Embedded","Carry-out","0","2023-12-26","5","0"
"TRX-408fa8a1","2023-12-17","15:00","Mon","Q4","ST-7","EC Online","Online","Tokyo","Virtual","CUST-43568","41","40s","Male","Regular","1.12","Student","7460000","Single","2","PRD-9047","Home","Sub-Home","Brand-C","Home-Item","F1E62014","White","S","SUP-847","63","686","1429","1","1429","0.1","142","1287","128","601","0.47","QR","Completed","App","Mobile","iOS","Courier","500","2023-12-19","2","1"
"TRX-7f5d3c67","2023-09-08","11:47","Sat","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-29253","63","60s","Female","Regular","1.21","Student","4850000","Single","3","PRD-7197","Home","Sub-Home","Brand-C","Home-Item","72DAE2D7","Blue","M","SUP-185","12","758","1263","1","1263","0","0","1263","126","505","0.40","QR","Completed","App","Mobile","iOS","Courier","500","2023-09-11","","0"
"TRX-24c1a98c","2023-04-13","16:50","Fri","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-33383","43","40s","Male","Gold","1.70","Housewife","4330000","Single","1","PRD-7317","Food","Sub-Food","Brand-C","Food-Item","8C4ADCDB","White","L","SUP-301","96","393","849","7","5943","0","0","5943","594","3192","0.54","QR","Completed","App","Mobile","iOS","Courier","500","2023-04-15","","0"
"TRX-5158f196","2023-06-27","16:00","Wed","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-37560","38","30s","Male","Regular","1.15","Student","6950000","Married","0","PRD-6594","Home","Sub-Home","Brand-D","Home-Item","57B17160","White","S","SUP-478","38","409","675","1","675","0.2","135","540","54","131","0.24","QR","Completed","App","Mobile","iOS","Courier","500","2023-07-04","","0"
"TRX-ba620931","2023-09-09","19:32","Sun","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-25871","36","30s","Female","Regular","1.07","Office Worker","3740000","Married","1","PRD-4704","Home","Sub-Home","Brand-F","Home-Item","B5C70C2D","Black","L","SUP-751","46","1174","2142","1","2142","0","0","2142","214","968","0.45","Credit","Completed","App","Mobile","iOS","Courier","500","2023-09-10","","0"
"TRX-b771648a","2023-06-12","14:48","Tue","Q2","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-20302","29","20s","Male","Regular","1.38","Other","7990000","Single","1","PRD-1641","Food","Sub-Food","Brand-C","Food-Item","9876748B","Blue","S","SUP-921","46","1051","2190","1","2190","0","0","2190","219","1139","0.52","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-06-12","3","0"
"TRX-62e1b2f1","2023-12-06","11:09","Thu","Q4","ST-4","Nagoya Sakae","Kanto","Tokyo","Physical","CUST-68152","41","40s","Male","Regular","1.35","Student","4310000","Single","0","PRD-6882","Food","Sub-Food","Brand-C","Food-Item","36263641","Black","L","SUP-383","52","1269","1725","1","1725","0","0","1725","172","456","0.26","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-12-06","","0"
"TRX-4962ef39","2023-06-13","12:42","Wed","Q2","ST-1","Shinjuku","Kanto","Tokyo","Physical","CUST-93706","43","40s","Female","Regular","1.10","Office Worker","3840000","Single","0","PRD-3206","Food","Sub-Food","Brand-C","Food-Item","FFD5D499","Blue","M","SUP-765","57","2626","3687","1","3687","0","0","3687","368","1061","0.29","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-06-13","","0"
"TRX-252386d6","2023-05-25","17:45","Fri","Q2","ST-4","Nagoya Sakae","Kanto","Tokyo","Physical","CUST-83370","30","30s","Female","Regular","1.17","Housewife","4150000","Married","2","PRD-7142","Home","Sub-Home","Brand-A","Home-Item","75122CF8","Black","S","SUP-157","11","582","1766","1","1766","0","0","1766","176","1184","0.67","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-05-25","","0"
"TRX-8a5f20ea","2023-09-22","12:32","Sat","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-97806","29","20s","Female","Regular","1.36","Office Worker","30000","Married","3","PRD-4956","Fashion","Sub-Fashion","Brand-C","Fashion-Item","BE10C0B6","Black","S","SUP-352","10","2702","3703","1","3703","0","0","3703","370","1001","0.27","Credit","Completed","App","Mobile","iOS","Courier","500","2023-09-26","","0"
"TRX-7197bf9e","2023-04-20","12:03","Fri","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-48882","18","10s","Male","Regular","1.42","Office Worker","6000000","Single","0","PRD-5623","Fashion","Sub-Fashion","Brand-B","Fashion-Item","C25FC488","Black","M","SUP-363","43","80","100","1","100","0","0","100","10","20","0.20","QR","Completed","App","Mobile","iOS","Courier","500","2023-04-25","","0"
"TRX-9c96fa7f","2023-04-08","16:10","Sun","Q2","ST-1","Shinjuku","Kanto","Tokyo","Physical","CUST-33252","37","30s","Male","Regular","1.24","Office Worker","2380000","Single","2","PRD-8140","Food","Sub-Food","Brand-B","Food-Item","6CE37326","Blue","M","SUP-348","90","1587","2198","1","2198","0","0","2198","219","611","0.28","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-04-08","","0"
"TRX-7ba2a8c1","2023-06-21","14:03","Thu","Q2","ST-3","Osaka Umeda","Kansai","Osaka","Physical","CUST-84750","24","20s","Male","Regular","1.11","Office Worker","7390000","Single","0","PRD-1273","Home","Sub-Home","Brand-F","Home-Item","A35E3FD1","Red","M","SUP-347","27","777","1407","1","1407","0","0","1407","140","630","0.45","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-06-21","","0"
"TRX-927f5efa","2023-01-06","16:58","Sat","Q1","ST-7","EC Online","Online","Tokyo","Virtual","CUST-62136","41","40s","Male","Regular","1.06","Office Worker","4450000","Single","1","PRD-9326","Fashion","Sub-Fashion","Brand-A","Fashion-Item","43AA38FD","Blue","S","SUP-515","50","1799","4133","1","4133","0","0","4133","413","2334","0.56","Credit","Completed","App","Mobile","iOS","Courier","500","2023-01-11","","0"
"TRX-4fa5d050","2023-10-25","14:35","Thu","Q4","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-79092","53","50s","Male","VIP","3.41","Office Worker","6320000","Single","1","PRD-5492","Food","Sub-Food","Brand-C","Food-Item","CF5DACA8","Black","M","SUP-598","27","945","2000","1","2000","0","0","2000","200","1055","0.53","Cash","Completed","Store","POS","Embedded","Carry-out","0","2023-10-25","","0"
"TRX-9b9f593a","2023-03-21","14:30","Wed","Q1","ST-1","Shinjuku","Kanto","Tokyo","Physical","CUST-79842","40","40s","Male","Regular","1.32","Office Worker","1790000","Married","2","PRD-6063","Food","Sub-Food","Brand-C","Food-Item","065558E6","White","L","SUP-459","59","1360","2200","1","2200","0","0","2200","220","840","0.38","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-03-21","","0"
"TRX-a996255c","2023-07-17","13:38","Tue","Q3","ST-1","Shinjuku","Kanto","Tokyo","Physical","CUST-50590","28","20s","Female","Regular","1.04","Office Worker","3620000","Single","0","PRD-7476","Home","Sub-Home","Brand-C","Home-Item","B9A4BB44","Red","M","SUP-300","19","1798","3040","1","3040","0","0","3040","304","1242","0.41","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-07-17","","0"
"TRX-9895f41b","2023-03-15","23:30","Thu","Q1","ST-7","EC Online","Online","Tokyo","Virtual","CUST-26015","20","20s","Male","Regular","1.01","Office Worker","8240000","Married","1","PRD-9623","Home","Sub-Home","Brand-C","Home-Item","C86E143B","Red","M","SUP-764","58","997","1546","1","1546","0","0","1546","154","549","0.36","Credit","Completed","App","Mobile","iOS","Courier","500","2023-03-18","","0"
"TRX-280ccba6","2023-01-17","15:12","Wed","Q1","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-91197","29","20s","Male","Regular","1.37","Housewife","3650000","Married","1","PRD-4197","Fashion","Sub-Fashion","Brand-F","Fashion-Item","E77BCAE7","Blue","M","SUP-713","89","6393","12169","1","12169","0","0","12169","1216","5776","0.47","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-01-17","","0"
"TRX-ad6d69d2","2023-08-11","10:31","Sat","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-25743","27","20s","Male","Gold","1.51","Housewife","6740000","Single","3","PRD-8437","Electronics","Sub-Electronics","Brand-A","Electronics-Item","C1880483","Blue","S","SUP-749","54","52552","83304","1","83304","0.1","8330","74974","7497","22422","0.30","QR","Completed","App","Mobile","iOS","Courier","500","2023-08-12","","0"
"TRX-aeba8875","2023-04-27","13:16","Fri","Q2","ST-7","EC Online","Online","Tokyo","Virtual","CUST-50149","31","30s","Female","Regular","1.05","Student","2400000","Single","2","PRD-8050","Electronics","Sub-Electronics","Brand-E","Electronics-Item","B06A24B9","Black","M","SUP-491","14","41354","57727","1","57727","0","0","57727","5772","16373","0.28","QR","Completed","App","Mobile","iOS","Courier","500","2023-04-30","4","0"
"TRX-728dd79b","2023-05-20","18:16","Sun","Q2","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-43238","46","40s","Male","Regular","1.02","Housewife","5560000","Married","0","PRD-4740","Fashion","Sub-Fashion","Brand-E","Fashion-Item","EE93B947","Black","S","SUP-519","5","919","1857","1","1857","0","0","1857","185","938","0.51","QR","Completed","Store","POS","Embedded","Carry-out","0","2023-05-20","","0"
"TRX-4f1ec412","2023-12-03","21:26","Mon","Q4","ST-7","EC Online","Online","Tokyo","Virtual","CUST-99509","23","20s","Female","Regular","1.07","Office Worker","3630000","Married","2","PRD-1473","Home","Sub-Home","Brand-B","Home-Item","D3F82603","Black","M","SUP-276","94","668","1446","1","1446","0","0","1446","144","778","0.54","Credit","Completed","App","Mobile","iOS","Courier","500","2023-12-08","","0"
"TRX-f2f409fc","2023-09-03","09:16","Mon","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-60914","42","40s","Female","Regular","1.13","Office Worker","2960000","Single","3","PRD-3605","Fashion","Sub-Fashion","Brand-D","Fashion-Item","46090A22","White","M","SUP-790","52","2232","3571","8","28568","0.1","2856","25712","2571","7856","0.31","Credit","Completed","App","Mobile","iOS","Courier","500","2023-09-06","","0"
"TRX-2161c557","2023-11-07","14:37","Wed","Q4","ST-0","Tokyo Main","Kanto","Tokyo","Physical","CUST-78989","51","50s","Male","Regular","1.38","Housewife","6200000","Single","0","PRD-3345","Fashion","Sub-Fashion","Brand-D","Fashion-Item","66DB1076","Black","L","SUP-715","54","68","100","1","100","0","0","100","10","32","0.32","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-11-07","","0"
"TRX-1828eb3b","2023-12-12","16:37","Wed","Q4","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-52869","18","10s","Male","Regular","1.46","Housewife","6770000","Married","3","PRD-9681","Food","Sub-Food","Brand-B","Food-Item","6B6C404A","Black","S","SUP-800","6","917","2339","1","2339","0.2","467","1872","187","955","0.51","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-12-12","","0"
"TRX-da646299","2023-07-17","17:41","Tue","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-10208","44","40s","Male","Regular","1.08","Housewife","2840000","Married","1","PRD-9467","Electronics","Sub-Electronics","Brand-B","Electronics-Item","252BFC04","Red","M","SUP-537","46","78","100","1","100","0","0","100","10","22","0.22","Credit","Completed","App","Mobile","iOS","Courier","500","2023-07-21","","0"
"TRX-06af1a03","2023-08-15","09:57","Wed","Q3","ST-7","EC Online","Online","Tokyo","Virtual","CUST-19972","62","60s","Male","Regular","1.09","Office Worker","5670000","Single","1","PRD-6313","Electronics","Sub-Electronics","Brand-D","Electronics-Item","BFF54807","Red","M","SUP-143","41","44268","64352","1","64352","0","0","64352","6435","20084","0.31","Credit","Completed","App","Mobile","iOS","Courier","500","2023-08-18","","0"
"TRX-8f6605aa","2023-07-06","12:07","Fri","Q3","ST-2","Shibuya","Kanto","Tokyo","Physical","CUST-29268","25","20s","Female","Regular","1.08","Office Worker","5000000","Single","2","PRD-7509","Fashion","Sub-Fashion","Brand-E","Fashion-Item","A246C9DC","Red","M","SUP-651","39","1837","4397","1","4397","0","0","4397","439","2560","0.58","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-07-06","","0"
"TRX-833f60fb","2023-07-18","21:09","Wed","Q3","ST-6","Sapporo","Kanto","Tokyo","Physical","CUST-10013","54","50s","Male","Regular","1.40","Student","5600000","Single","0","PRD-9966","Electronics","Sub-Electronics","Brand-E","Electronics-Item","6BD798D8","Red","M","SUP-802","67","33008","62982","1","62982","0","0","62982","6298","29974","0.48","Credit","Completed","Store","POS","Embedded","Carry-out","0","2023-07-18","","0"
"TRX-0f319884","2023-03-03","15:37","Sat","Q1","ST-7","EC Online","Online","Tokyo","Virtual","CUST-38279","46","40s","Male","Regular","1.11","Housewife","8840000","Single","2","PRD-4232","Food","Sub-Food","Brand-C","Food-Item","C11F302E","Blue","M","SUP-841","84","1187","1785","1","1785","0","0","1785","178","598","0.34","Credit","Completed","App","Mobile","iOS","Courier","500","2023-03-07","","0"
